movieid	avg_rating	id	tags
910	4.09	910	[{'id': 351, 'name': 'poison'}, {'id': 395, 'name': 'gambling'}, {'id': 703, 'name': 'detective'}, {'id': 9937, 'name': 'suspense'}, {'id': 12670, 'name': 'los angeles'}, {'id': 14964, 'name': 'drug'}, {'id': 155436, 'name': 'classic noir'}, {'id': 155790, 'name': 'private detective'}, {'id': 155851, 'name': 'book store'}, {'id': 155860, 'name': 'philip marlowe'}, {'id': 156091, 'name': 'missing person'}, {'id': 195402, 'name': 'film noir'}]
1281	4.10	1281	[{'id': 90, 'name': 'paris'}, {'id': 212, 'name': 'london england'}, {'id': 387, 'name': 'california'}, {'id': 822, 'name': 'airport'}, {'id': 1953, 'name': 'vault'}, {'id': 2535, 'name': 'destroy'}, {'id': 2598, 'name': 'museum'}, {'id': 3675, 'name': 'arts and culture'}, {'id': 4630, 'name': 'chaos'}, {'id': 4826, 'name': 'repair'}, {'id': 5347, 'name': 'clumsy fellow'}, {'id': 5369, 'name': 'guard'}, {'id': 5370, 'name': 'arts expert'}, {'id': 5372, 'name': 'host family'}, {'id': 5373, 'name': 'damage'}, {'id': 5374, 'name': 'poster'}, {'id': 5375, 'name': 'artwork'}, {'id': 5376, 'name': 'creativity'}, {'id': 5918, 'name': 'painting'}, {'id': 11612, 'name': 'hospital'}, {'id': 12670, 'name': 'los angeles'}, {'id': 155582, 'name': 'amusement park'}, {'id': 163242, 'name': 'teenage rebellion'}, {'id': 215404, 'name': 'laxative'}]
926	4.20	926	[{'id': 2902, 'name': 'space battle'}, {'id': 9831, 'name': 'spaceship'}, {'id': 11931, 'name': 'spoof'}, {'id': 179781, 'name': 'fictional tv show'}]
678	4.17	678	[{'id': 703, 'name': 'detective'}, {'id': 1415, 'name': 'small town'}, {'id': 1420, 'name': 'gas station'}, {'id': 1635, 'name': 'deaf-mute'}, {'id': 1660, 'name': 'suppressed past'}, {'id': 9016, 'name': 'femme fatale'}, {'id': 9104, 'name': 'partner'}, {'id': 9758, 'name': 'deception'}, {'id': 11435, 'name': 'briefcase'}, {'id': 13142, 'name': 'gangster'}, {'id': 33456, 'name': 'double cross'}, {'id': 155436, 'name': 'classic noir'}, {'id': 177362, 'name': 'tax evasion'}, {'id': 180172, 'name': 'framed for murder'}, {'id': 195402, 'name': 'film noir'}]
5971	4.14	5971	[{'id': 378, 'name': 'prison'}, {'id': 1563, 'name': 'prisoner'}, {'id': 10183, 'name': 'independent film'}]
3035	4.16	3035	[{'id': 657, 'name': 'fire'}, {'id': 1299, 'name': 'monster'}, {'id': 1706, 'name': 'experiment'}, {'id': 6737, 'name': 'frankenstein'}, {'id': 10124, 'name': 'laboratory'}, {'id': 10770, 'name': 'mad doctor'}, {'id': 14659, 'name': 'girl'}, {'id': 155489, 'name': 'classic horror'}, {'id': 157741, 'name': 'body part'}, {'id': 210714, 'name': 'villager'}]
745	4.16	745	[{'id': 516, 'name': 'child abuse'}, {'id': 1335, 'name': 'sense of guilt'}, {'id': 1452, 'name': 'loss of child'}, {'id': 2246, 'name': 'confidence'}, {'id': 2800, 'name': 'psychology'}, {'id': 3737, 'name': 'dying and death'}, {'id': 5809, 'name': 'marriage crisis'}, {'id': 6155, 'name': 'afterlife'}, {'id': 9457, 'name': 'single'}, {'id': 11627, 'name': 'paranormal phenomena'}, {'id': 13001, 'name': 'cowardliness'}, {'id': 208349, 'name': 'child'}, {'id': 210530, 'name': 'spiritism'}]
913	4.21	913	[{'id': 159520, 'name': 'martinique'}, {'id': 159521, 'name': 'claude monet'}, {'id': 159523, 'name': 'famous painting'}, {'id': 159529, 'name': 'glider'}, {'id': 159531, 'name': 'insurance agent'}, {'id': 159532, 'name': 'missing painting'}, {'id': 159534, 'name': 'stolen painting'}, {'id': 159538, 'name': 'valuable painting'}, {'id': 159539, 'name': 'rich people'}]
912	4.18	912	[{'id': 930, 'name': 'in love with enemy'}, {'id': 3607, 'name': 'hold-up robbery'}, {'id': 3925, 'name': 'boredom'}, {'id': 3973, 'name': 'insurance salesman'}, {'id': 4480, 'name': 'business man'}, {'id': 4617, 'name': 'insurance fraud'}, {'id': 4812, 'name': 'plan'}, {'id': 10051, 'name': 'heist'}, {'id': 14604, 'name': 'theft'}, {'id': 33626, 'name': 'millionaire'}]
1213	4.20	1213	[{'id': 110, 'name': 'venice'}, {'id': 131, 'name': 'italy'}, {'id': 237, 'name': 'gay'}, {'id': 242, 'name': 'new york'}, {'id': 725, 'name': 'lovesickness'}, {'id': 848, 'name': 'double life'}, {'id': 851, 'name': 'dual identity'}, {'id': 931, 'name': 'jealousy'}, {'id': 1308, 'name': 'secret identity'}, {'id': 1605, 'name': 'new love'}, {'id': 1849, 'name': 'homicide'}, {'id': 1913, 'name': 'atlantic ocean'}, {'id': 2547, 'name': 'new identity'}, {'id': 3152, 'name': 'planned murder'}, {'id': 3246, 'name': 'prosecution'}, {'id': 3342, 'name': 'yacht'}, {'id': 3799, 'name': 'ship'}, {'id': 3843, 'name': 'inferiority'}, {'id': 3864, 'name': 'false identity'}, {'id': 4214, 'name': 'beguilement'}, {'id': 4951, 'name': 'rejection'}, {'id': 4952, 'name': 'inferiority complex'}, {'id': 4953, 'name': 'ocean liner'}, {'id': 6054, 'name': 'friendship'}, {'id': 10180, 'name': 'homosexuality'}, {'id': 10329, 'name': 'wealth'}, {'id': 13001, 'name': 'cowardliness'}, {'id': 155624, 'name': 'envy'}]
593	4.17	593	[{'id': 1228, 'name': '1970s'}, {'id': 1565, 'name': 'loss of sense of reality'}, {'id': 1603, 'name': 'extraterrestrial technology'}, {'id': 2117, 'name': 'subconsciousness'}, {'id': 2808, 'name': 'russian'}, {'id': 3298, 'name': 'hallucination'}, {'id': 3801, 'name': 'space travel'}, {'id': 14626, 'name': 'astronaut'}, {'id': 157938, 'name': 'soviet'}]
541	4.12	541	[{'id': 378, 'name': 'prison'}, {'id': 383, 'name': 'poker'}, {'id': 395, 'name': 'gambling'}, {'id': 1001, 'name': 'underground world'}, {'id': 1335, 'name': 'sense of guilt'}, {'id': 1416, 'name': 'jazz'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 2367, 'name': 'rehabilitation'}, {'id': 2375, 'name': 'junkie'}, {'id': 2564, 'name': 'wheelchair'}, {'id': 2619, 'name': 'suspicion of murder'}, {'id': 2694, 'name': 'cold turkey'}, {'id': 2695, 'name': 'ex-lover'}, {'id': 2696, 'name': 'drums'}, {'id': 6255, 'name': 'insanity'}]
911	4.14	911	[{'id': 279, 'name': 'usa'}, {'id': 387, 'name': 'california'}, {'id': 5600, 'name': 'daughter'}, {'id': 15363, 'name': 'bank robbery'}, {'id': 15483, 'name': 'car chase'}, {'id': 33457, 'name': 'alcoholic'}, {'id': 41180, 'name': 'security guard'}, {'id': 191845, 'name': 'bank heist'}]
318	4.41	318	[{'id': 612, 'name': 'hotel'}, {'id': 2246, 'name': 'confidence'}, {'id': 2375, 'name': 'junkie'}, {'id': 3096, 'name': 'book'}, {'id': 6054, 'name': 'friendship'}, {'id': 6255, 'name': 'insanity'}, {'id': 12670, 'name': 'los angeles'}, {'id': 14964, 'name': 'drug'}, {'id': 18525, 'name': 'fbi agent'}]
111	4.09	111	[{'id': 416, 'name': 'miami'}, {'id': 417, 'name': 'corruption'}, {'id': 592, 'name': 'capitalism'}, {'id': 701, 'name': 'cuba'}, {'id': 947, 'name': 'prohibition'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 1578, 'name': 'loss of sister'}, {'id': 2150, 'name': 'cocaine'}, {'id': 34117, 'name': 'cult film'}, {'id': 157223, 'name': 'bitterness'}]
1734	4.08	1734	[{'id': 5153, 'name': 'son'}, {'id': 157894, 'name': 'ancient egypt'}, {'id': 163306, 'name': 'bracelet'}]
4973	4.11	4973	[{'id': 966, 'name': 'beach'}, {'id': 1157, 'name': 'wife husband relationship'}, {'id': 1647, 'name': 'sadness'}, {'id': 10941, 'name': 'disappearance'}]
1089	4.11	1089	[{'id': 1524, 'name': 'surfer'}, {'id': 1568, 'name': 'undercover'}, {'id': 1669, 'name': 'wave'}, {'id': 1671, 'name': 'surfboard'}, {'id': 1824, 'name': 'self-destruction'}, {'id': 2796, 'name': 'self-discovery'}, {'id': 4300, 'name': 'parachute'}, {'id': 4668, 'name': 'police operation'}, {'id': 4679, 'name': 'parachuting'}, {'id': 4690, 'name': 'moral conflict'}, {'id': 12670, 'name': 'los angeles'}, {'id': 18525, 'name': 'fbi agent'}, {'id': 187056, 'name': 'woman director'}]
3134	4.39	3134	"[{'id': 254, 'name': 'france'}, {'id': 570, 'name': 'rape'}, {'id': 2316, 'name': ""women's sexual identity""}, {'id': 9748, 'name': 'revenge'}, {'id': 9826, 'name': 'murder'}, {'id': 10183, 'name': 'independent film'}, {'id': 12420, 'name': 'unsimulated sex'}, {'id': 14536, 'name': 'crime'}, {'id': 14819, 'name': 'violence'}, {'id': 156433, 'name': 'explicit sex'}, {'id': 187056, 'name': 'woman director'}, {'id': 224663, 'name': 'new french extremism'}]"
98491	4.25	98491	[{'id': 9180, 'name': 'yorkshire'}]
4993	4.12	4993	[{'id': 383, 'name': 'poker'}, {'id': 9826, 'name': 'murder'}, {'id': 180397, 'name': 'cementery'}, {'id': 180398, 'name': 'cheating at cards'}]
608	4.10	608	[{'id': 83, 'name': 'saving the world'}, {'id': 1308, 'name': 'secret identity'}, {'id': 1381, 'name': 'sun glasses'}, {'id': 1568, 'name': 'undercover'}, {'id': 1826, 'name': 'space marine'}, {'id': 2173, 'name': 'illegal immigration'}, {'id': 2428, 'name': 'deportation'}, {'id': 2547, 'name': 'new identity'}, {'id': 3243, 'name': 'flying saucer'}, {'id': 3760, 'name': 'light'}, {'id': 6112, 'name': 'firearm'}, {'id': 9951, 'name': 'alien'}, {'id': 174915, 'name': 'fictional government agency'}]
6016	4.22	6016	[{'id': 585, 'name': 'casino'}, {'id': 660, 'name': 'monte carlo'}, {'id': 5918, 'name': 'painting'}, {'id': 9728, 'name': 'caper'}, {'id': 10183, 'name': 'independent film'}, {'id': 159343, 'name': 'heist movie'}]
296	4.20	296	[{'id': 83, 'name': 'saving the world'}, {'id': 310, 'name': 'artificial intelligence'}, {'id': 312, 'name': 'man vs machine'}, {'id': 679, 'name': 'cyborg'}, {'id': 1373, 'name': 'killer robot'}, {'id': 1381, 'name': 'sun glasses'}, {'id': 2650, 'name': 'leather jacket'}, {'id': 2651, 'name': 'nanotechnology'}, {'id': 2732, 'name': 'rocket launcher'}, {'id': 2733, 'name': 'firemen'}, {'id': 2735, 'name': 'veterinarian'}, {'id': 2736, 'name': 'fire engine'}, {'id': 4565, 'name': 'dystopia'}, {'id': 15106, 'name': 'psychiatrist'}]
3089	4.10	3089	[{'id': 1556, 'name': 'texas'}, {'id': 3851, 'name': 'dangerous'}, {'id': 7658, 'name': 'kansas'}, {'id': 9656, 'name': 'cattle drive'}, {'id': 9748, 'name': 'revenge'}, {'id': 15225, 'name': 'cattle'}, {'id': 185927, 'name': 'adopted child'}, {'id': 208505, 'name': 'cattle empire'}]
951	4.14	951	[{'id': 853, 'name': 'crime fighter'}, {'id': 1650, 'name': 'cook'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4590, 'name': 'kindergarten'}, {'id': 5091, 'name': 'kiss'}, {'id': 6149, 'name': 'police'}, {'id': 10508, 'name': 'teacher'}, {'id': 214555, 'name': 'children education'}]
3022	4.18	3022	[{'id': 848, 'name': 'double life'}, {'id': 155489, 'name': 'classic horror'}, {'id': 156033, 'name': 'jekyll and hyde'}]
923	4.10	923	[{'id': 720, 'name': 'helicopter'}, {'id': 1774, 'name': 'news broadcast'}, {'id': 3431, 'name': 'materialism'}, {'id': 3544, 'name': 'machete'}, {'id': 4197, 'name': 'bite'}, {'id': 4630, 'name': 'chaos'}, {'id': 4632, 'name': 'martial law'}, {'id': 4633, 'name': 'state of emergency'}, {'id': 4634, 'name': 'rock gang'}, {'id': 4884, 'name': 'infection'}, {'id': 6092, 'name': 'army'}, {'id': 6951, 'name': 'biker'}, {'id': 9276, 'name': 'truck'}, {'id': 10292, 'name': 'gore'}, {'id': 12377, 'name': 'zombie'}, {'id': 14736, 'name': 'motorcycle gang'}, {'id': 14819, 'name': 'violence'}, {'id': 157598, 'name': 'store'}, {'id': 157690, 'name': 'mall'}, {'id': 193594, 'name': 'pittsburgh'}]
905	4.25	905	[{'id': 212, 'name': 'london england'}, {'id': 585, 'name': 'casino'}, {'id': 893, 'name': 'irony'}, {'id': 3691, 'name': 'forbidden love'}, {'id': 4549, 'name': 'loss of husband'}, {'id': 14872, 'name': 'reward'}, {'id': 154802, 'name': 'silent film'}]
750	4.22	750	[{'id': 351, 'name': 'poison'}, {'id': 1610, 'name': 'country estate'}, {'id': 1735, 'name': 'amateur detective'}, {'id': 1752, 'name': 'detective inspector'}, {'id': 2702, 'name': 'golf'}, {'id': 3864, 'name': 'false identity'}, {'id': 3865, 'name': 'employment agency'}, {'id': 198096, 'name': 'miss marple'}, {'id': 207046, 'name': 'murder mystery'}]
5618	4.22	5618	[{'id': 293, 'name': 'female nudity'}, {'id': 4438, 'name': 'cousin'}, {'id': 6054, 'name': 'friendship'}, {'id': 13027, 'name': 'wedding'}]
1280	4.14	1280	"[{'id': 128, 'name': 'love triangle'}, {'id': 378, 'name': 'prison'}, {'id': 931, 'name': 'jealousy'}, {'id': 1157, 'name': 'wife husband relationship'}, {'id': 1437, 'name': 'burglar'}, {'id': 2038, 'name': ""love of one's life""}, {'id': 2320, 'name': 'violent husband'}, {'id': 2702, 'name': 'golf'}, {'id': 2863, 'name': 'mannequin'}, {'id': 5318, 'name': 'seoul'}]"
950	4.13	950	[{'id': 2078, 'name': 'mammoth'}, {'id': 2079, 'name': 'sloth'}, {'id': 2219, 'name': 'ice age'}, {'id': 2223, 'name': 'barrier ice'}, {'id': 2224, 'name': 'ice melting'}, {'id': 2984, 'name': 'iceberg'}, {'id': 3528, 'name': 'flooding'}, {'id': 4414, 'name': 'adventure'}, {'id': 4663, 'name': 'lovers'}, {'id': 4875, 'name': 'deluge'}, {'id': 158017, 'name': 'saber-toothed tiger'}]
1251	4.10	1251	[{'id': 1956, 'name': 'world war ii'}, {'id': 1964, 'name': 'cave'}, {'id': 3737, 'name': 'dying and death'}, {'id': 161246, 'name': 'pacific theater'}, {'id': 170007, 'name': 'japanese army'}, {'id': 188727, 'name': 'imperial japan'}]
1248	4.26	1248	[{'id': 1442, 'name': 'winter'}, {'id': 6259, 'name': 'psychopath'}, {'id': 8087, 'name': 'horror'}, {'id': 10714, 'name': 'serial killer'}]
1252	4.17	1252	[{'id': 428, 'name': 'nurse'}, {'id': 515, 'name': 'women'}, {'id': 703, 'name': 'detective'}, {'id': 1156, 'name': 'sister sister relationship'}, {'id': 1664, 'name': 'eroticism'}, {'id': 3182, 'name': 'seduction'}, {'id': 4115, 'name': 'longing'}, {'id': 4654, 'name': 'undercover agent'}, {'id': 4942, 'name': 'victim of murder'}, {'id': 5332, 'name': 'greed'}, {'id': 5444, 'name': 'lonely hearts ad'}, {'id': 5446, 'name': 'observer'}, {'id': 9016, 'name': 'femme fatale'}, {'id': 9957, 'name': 'loneliness'}]
1250	4.08	1250	"[{'id': 3684, 'name': 'religion and supernatural'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4084, 'name': ""devil's son""}, {'id': 5280, 'name': 'ghost world'}, {'id': 5452, 'name': 'stunts'}, {'id': 5454, 'name': 'flame'}, {'id': 9717, 'name': 'based on comic'}, {'id': 15001, 'name': 'demon'}]"
1267	4.09	1267	[{'id': 83, 'name': 'saving the world'}, {'id': 1720, 'name': 'tyrannosaurus rex'}, {'id': 2393, 'name': 'adoption'}, {'id': 2964, 'name': 'future'}, {'id': 4379, 'name': 'time travel'}, {'id': 5455, 'name': 'time machine'}, {'id': 5457, 'name': 'mythical creature'}, {'id': 6054, 'name': 'friendship'}, {'id': 12392, 'name': 'best friend'}, {'id': 18031, 'name': 'rescue team'}, {'id': 18035, 'name': 'family'}]
1950	4.08	1950	[{'id': 383, 'name': 'poker'}, {'id': 6075, 'name': 'sport'}, {'id': 14570, 'name': 'las vegas'}]
2959	4.22	2959	[{'id': 1605, 'name': 'new love'}, {'id': 2856, 'name': 'ten commandments'}, {'id': 3582, 'name': 'bride'}, {'id': 3583, 'name': 'bridegroom'}, {'id': 6038, 'name': 'marriage'}, {'id': 6192, 'name': 'relation'}, {'id': 6281, 'name': 'partnership'}, {'id': 6704, 'name': 'civil registry office'}, {'id': 10093, 'name': 'priest'}, {'id': 13027, 'name': 'wedding'}, {'id': 14765, 'name': 'church'}]
31658	4.07	31658	[{'id': 5074, 'name': 'wyatt earp'}, {'id': 9550, 'name': 'doc holliday'}, {'id': 9748, 'name': 'revenge'}, {'id': 160583, 'name': 'western town'}, {'id': 185461, 'name': 'bar shootout'}]
2973	4.13	2973	[{'id': 839, 'name': 'mars'}]
1284	4.25	1284	[{'id': 703, 'name': 'detective'}, {'id': 2534, 'name': 'missile'}, {'id': 6433, 'name': 'roulette'}, {'id': 6434, 'name': 'marbella'}]
3007	4.13	3007	[{'id': 305, 'name': 'moon'}, {'id': 2964, 'name': 'future'}, {'id': 3801, 'name': 'space travel'}]
44555	4.15	44555	[]
1254	4.27	1254	"[{'id': 128, 'name': 'love triangle'}, {'id': 254, 'name': 'france'}, {'id': 963, 'name': 'loss of brother'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 2251, 'name': 'lie'}, {'id': 2982, 'name': ""leaving one's family""}, {'id': 4299, 'name': 'normandy'}, {'id': 6298, 'name': 'postcard'}, {'id': 6438, 'name': 'anorexia'}, {'id': 14751, 'name': 'youth'}, {'id': 15016, 'name': 'twins'}, {'id': 18035, 'name': 'family'}]"
3030	4.28	3030	[{'id': 1499, 'name': 'pastor'}, {'id': 9951, 'name': 'alien'}]
4226	4.17	4226	[{'id': 9755, 'name': 'parody'}, {'id': 9826, 'name': 'murder'}, {'id': 12105, 'name': 'student'}, {'id': 12339, 'name': 'slasher'}, {'id': 13124, 'name': 'scream'}, {'id': 13160, 'name': 'university'}]
1260	4.22	1260	[]
2186	4.15	2186	[{'id': 13209, 'name': 'cabin in the woods'}, {'id': 161261, 'name': 'demonic possession'}, {'id': 173099, 'name': 'indian burial ground'}, {'id': 214549, 'name': 'short'}]
58559	4.16	58559	[{'id': 187056, 'name': 'woman director'}]
2324	4.13	2324	[{'id': 10183, 'name': 'independent film'}]
48780	4.09	48780	[]
